contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
NVDA250417P00015000,2025-01-03 19:57:10+00:00,15.0,0.01,0.0,0.02,0.0,0.0,148,659,1.40625296875,False,REGULAR,USD
NVDA250417P00020000,2025-01-14 18:48:30+00:00,20.0,0.02,0.01,0.02,0.01,100.0,30,285,1.2656286718749998,False,REGULAR,USD
NVDA250417P00025000,2025-01-06 16:28:38+00:00,25.0,0.02,0.0,0.11,0.0,0.0,2,27,1.2695349023437497,False,REGULAR,USD
NVDA250417P00030000,2025-01-13 18:32:00+00:00,30.0,0.03,0.0,0.09,0.0,0.0,10,99,1.109379453125,False,REGULAR,USD
NVDA250417P00035000,2025-01-10 20:25:14+00:00,35.0,0.05,0.02,0.07,0.0,0.0,1,1881,0.9960937890625,False,REGULAR,USD
NVDA250417P00040000,2025-01-13 19:58:07+00:00,40.0,0.05,0.03,0.06,0.0,0.0,807,2317,0.8984385156249999,False,REGULAR,USD
NVDA250417P00045000,2025-01-14 18:41:23+00:00,45.0,0.06,0.06,0.08,-0.010000002,-14.285716,19,37,0.8535170898437501,False,REGULAR,USD
NVDA250417P00050000,2025-01-14 16:44:01+00:00,50.0,0.11,0.09,0.11,0.009999998,9.999997,61,1593,0.8085956640624999,False,REGULAR,USD
NVDA250417P00055000,2025-01-14 20:55:48+00:00,55.0,0.14,0.13,0.15,-0.019999996,-12.499997,32,2941,0.7666038964843751,False,REGULAR,USD
NVDA250417P00060000,2025-01-14 16:15:25+00:00,60.0,0.21,0.19,0.21,-0.02000001,-8.695656,19,1301,0.7314479980468749,False,REGULAR,USD
NVDA250417P00065000,2025-01-14 20:54:40+00:00,65.0,0.29,0.26,0.28,0.0,0.0,20,1170,0.694338994140625,False,REGULAR,USD
NVDA250417P00070000,2025-01-14 20:57:48+00:00,70.0,0.38,0.36,0.38,-0.00999999,-2.5641003,78,3463,0.6621127539062501,False,REGULAR,USD
NVDA250417P00075000,2025-01-14 18:54:51+00:00,75.0,0.5,0.48,0.52,-0.029999971,-5.6603723,6,3150,0.6313513427734375,False,REGULAR,USD
NVDA250417P00080000,2025-01-14 20:29:33+00:00,80.0,0.67,0.65,0.69,-0.029999971,-4.2857103,60,12628,0.6025430371093752,False,REGULAR,USD
NVDA250417P00085000,2025-01-14 20:42:43+00:00,85.0,0.94,0.88,0.91,0.01999998,2.1739109,27,1875,0.5751995605468749,False,REGULAR,USD
NVDA250417P00090000,2025-01-14 20:22:41+00:00,90.0,1.3,1.17,1.23,0.07999992,6.5573707,90,9474,0.5507857421875001,False,REGULAR,USD
NVDA250417P00095000,2025-01-14 20:43:04+00:00,95.0,1.78,1.63,1.68,0.089999914,5.3254385,338,9868,0.5329636547851562,False,REGULAR,USD
NVDA250417P00100000,2025-01-14 20:42:42+00:00,100.0,2.43,2.21,2.3,0.22000003,9.954753,4298,20676,0.516606396484375,False,REGULAR,USD
NVDA250417P00105000,2025-01-14 20:21:03+00:00,105.0,3.3,3.05,3.15,0.21000004,6.796118,239,15246,0.5056201782226561,False,REGULAR,USD
NVDA250417P00110000,2025-01-14 20:59:20+00:00,110.0,4.22,4.1,4.2,0.22999978,5.7644053,5349,19667,0.49670913452148446,False,REGULAR,USD
NVDA250417P00115000,2025-01-14 20:58:23+00:00,115.0,5.6,5.45,5.55,0.2999997,5.660372,4871,15631,0.48779809082031256,False,REGULAR,USD
NVDA250417P00120000,2025-01-14 20:54:41+00:00,120.0,7.35,7.1,7.2,0.4499998,6.521736,1937,23389,0.47986359985351557,False,REGULAR,USD
NVDA250417P00125000,2025-01-14 20:59:47+00:00,125.0,9.11,9.0,9.2,0.35999966,4.1142817,477,17975,0.47400428344726564,False,REGULAR,USD
NVDA250417P00130000,2025-01-14 20:51:04+00:00,130.0,11.78,11.4,11.55,0.8299999,7.579908,1784,29056,0.4695487615966797,False,REGULAR,USD
NVDA250417P00135000,2025-01-14 20:59:35+00:00,135.0,14.19,14.0,14.2,0.5899992,4.338229,746,16538,0.4646049633789063,True,REGULAR,USD
NVDA250417P00140000,2025-01-14 20:59:25+00:00,140.0,17.2,16.95,17.35,0.80000114,4.878056,284,13754,0.46698531066894533,True,REGULAR,USD
NVDA250417P00145000,2025-01-14 20:50:19+00:00,145.0,20.66,20.15,20.85,1.2600002,6.494847,50,1868,0.47223428161621095,True,REGULAR,USD
NVDA250417P00150000,2025-01-14 19:45:35+00:00,150.0,23.95,23.5,24.0,0.31000137,1.3113426,44,2593,0.45325253784179687,True,REGULAR,USD
NVDA250417P00155000,2025-01-13 19:41:40+00:00,155.0,27.25,27.25,27.75,0.0,0.0,207,1960,0.4480035668945312,True,REGULAR,USD
NVDA250417P00160000,2025-01-14 20:42:44+00:00,160.0,32.45,31.25,31.7,1.4500008,4.677422,11,894,0.4417780432128906,True,REGULAR,USD
NVDA250417P00165000,2025-01-13 16:46:12+00:00,165.0,35.28,35.35,35.85,0.0,0.0,157,629,0.43555251953125,True,REGULAR,USD
NVDA250417P00170000,2025-01-14 15:02:31+00:00,170.0,38.3,39.75,40.25,-2.3199997,-5.7114716,1,292,0.43420975952148444,True,REGULAR,USD
NVDA250417P00175000,2025-01-14 20:33:14+00:00,175.0,45.45,44.15,44.7,4.1000023,9.915363,2,181,0.4272518212890626,True,REGULAR,USD
NVDA250417P00180000,2025-01-13 14:47:42+00:00,180.0,49.75,48.75,49.3,0.0,0.0,9,335,0.4222469885253906,True,REGULAR,USD
NVDA250417P00185000,2025-01-10 14:38:40+00:00,185.0,51.0,53.5,54.05,0.0,0.0,3,183,0.4233456103515625,True,REGULAR,USD
NVDA250417P00190000,2025-01-07 19:12:08+00:00,190.0,49.25,58.25,58.8,0.0,0.0,1,210,0.4167538793945312,True,REGULAR,USD
NVDA250417P00195000,2025-01-14 19:59:16+00:00,195.0,64.7,63.05,63.65,1.2499962,1.9700491,2,228,0.4157773266601562,True,REGULAR,USD
NVDA250417P00200000,2025-01-07 15:38:05+00:00,200.0,58.8,68.05,68.55,0.0,0.0,7,187,0.41748629394531245,True,REGULAR,USD
NVDA250417P00210000,2024-12-19 19:59:25+00:00,210.0,78.4,77.75,78.65,0.0,0.0,1,25,0.47730014892578126,True,REGULAR,USD
