contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
NVDA250718C00050000,2025-01-14 19:57:48+00:00,50.0,82.3,82.25,84.7,-0.66999817,-0.8075186,1,83,0.936524072265625,True,REGULAR,USD
NVDA250718C00055000,2025-01-14 19:51:59+00:00,55.0,78.35,77.45,79.15,-0.80000305,-1.0107429,1,80,0.8325212060546874,True,REGULAR,USD
NVDA250718C00060000,2025-01-13 18:06:53+00:00,60.0,74.9,72.25,74.4,0.0,0.0,11,58,0.7624535473632813,True,REGULAR,USD
NVDA250718C00065000,2025-01-13 17:28:34+00:00,65.0,70.25,68.2,70.35,0.0,0.0,5,181,0.7863790893554687,True,REGULAR,USD
NVDA250718C00070000,2025-01-14 15:36:33+00:00,70.0,65.22,63.35,65.0,0.6399994,0.99101794,2,91,0.7093534924316407,True,REGULAR,USD
NVDA250718C00075000,2025-01-14 17:10:08+00:00,75.0,59.32,59.2,60.4,-10.980003,-15.618781,1,346,0.6914093359375001,True,REGULAR,USD
NVDA250718C00080000,2025-01-14 19:29:51+00:00,80.0,55.5,54.45,55.95,-0.8499985,-1.5084268,15,141,0.6540561938476563,True,REGULAR,USD
NVDA250718C00085000,2025-01-03 16:17:38+00:00,85.0,62.2,50.15,52.15,0.0,0.0,21,162,0.6457554956054687,True,REGULAR,USD
NVDA250718C00090000,2025-01-14 19:59:09+00:00,90.0,45.75,46.15,47.65,-1.7999992,-3.7854874,15,295,0.6208534008789064,True,REGULAR,USD
NVDA250718C00095000,2025-01-14 20:59:15+00:00,95.0,42.53,42.55,43.1,0.7799988,1.8682605,104,191,0.6002237243652344,True,REGULAR,USD
NVDA250718C00100000,2025-01-14 20:53:23+00:00,100.0,38.48,38.7,39.25,-1.9700012,-4.870213,42,597,0.5842326733398437,True,REGULAR,USD
NVDA250718C00105000,2025-01-14 16:33:39+00:00,105.0,34.8,35.05,35.45,-1.2800026,-3.547679,10,266,0.5678754150390625,True,REGULAR,USD
NVDA250718C00110000,2025-01-14 20:08:35+00:00,110.0,30.9,31.6,32.15,-1.6800022,-5.156544,53,698,0.5584760949707033,True,REGULAR,USD
NVDA250718C00115000,2025-01-14 20:27:48+00:00,115.0,27.95,28.5,28.75,-1.1499996,-3.9518886,11,1056,0.5473678076171876,True,REGULAR,USD
NVDA250718C00120000,2025-01-14 20:59:12+00:00,120.0,25.43,25.55,25.8,-1.5699997,-5.8148136,77,1972,0.5399215930175782,True,REGULAR,USD
NVDA250718C00125000,2025-01-14 20:06:01+00:00,125.0,22.1,22.85,23.05,-1.4799995,-6.2765036,46,907,0.5333908966064453,True,REGULAR,USD
NVDA250718C00130000,2025-01-14 20:58:32+00:00,130.0,20.22,20.35,20.55,-1.3800011,-6.3888936,370,1128,0.52774520111084,True,REGULAR,USD
NVDA250718C00135000,2025-01-14 20:57:01+00:00,135.0,18.0,18.05,18.65,-1.25,-6.4935064,1086,2012,0.5277146838378908,False,REGULAR,USD
NVDA250718C00140000,2025-01-14 20:59:59+00:00,140.0,16.15,15.5,17.65,-0.5,-3.0030031,666,6320,0.5312546875,False,REGULAR,USD
NVDA250718C00145000,2025-01-14 20:37:17+00:00,145.0,13.96,14.2,14.35,-1.1899996,-7.8547826,308,2739,0.5160265682983399,False,REGULAR,USD
NVDA250718C00150000,2025-01-14 20:59:21+00:00,150.0,12.5,12.55,12.7,-0.8999996,-6.7164154,6842,3399,0.5136157037353515,False,REGULAR,USD
NVDA250718C00155000,2025-01-14 20:20:24+00:00,155.0,10.8,10.9,11.25,-0.8000002,-6.896553,66,4120,0.5095263891601562,False,REGULAR,USD
NVDA250718C00160000,2025-01-14 20:52:56+00:00,160.0,9.69,9.75,9.9,-0.7600002,-7.2727294,380,1237,0.5096484582519532,False,REGULAR,USD
NVDA250718C00165000,2025-01-14 20:58:53+00:00,165.0,8.55,8.55,9.1,-0.39999962,-4.4692698,48,2339,0.5131884619140624,False,REGULAR,USD
NVDA250718C00170000,2025-01-14 20:49:00+00:00,170.0,7.4,7.5,7.85,-0.7999997,-9.756094,112,1771,0.508793974609375,False,REGULAR,USD
NVDA250718C00175000,2025-01-14 20:58:23+00:00,175.0,6.6,6.65,6.9,-0.4000001,-5.714287,65,1135,0.5084277673339843,False,REGULAR,USD
NVDA250718C00180000,2025-01-14 20:15:26+00:00,180.0,5.75,5.85,6.1,-0.5999999,-9.448818,159,3115,0.5081225946044923,False,REGULAR,USD
NVDA250718C00185000,2025-01-14 20:36:00+00:00,185.0,5.1,5.15,5.45,-0.4000001,-7.2727284,345,528,0.5090991473388673,False,REGULAR,USD
NVDA250718C00190000,2025-01-14 20:04:12+00:00,190.0,4.4,4.55,4.65,-0.4000001,-8.333335,86,1148,0.5062305236816407,False,REGULAR,USD
NVDA250718C00195000,2025-01-14 20:14:47+00:00,195.0,3.95,4.0,4.2,-0.33000016,-7.7102838,11,400,0.5080615600585938,False,REGULAR,USD
NVDA250718C00200000,2025-01-14 20:38:23+00:00,200.0,3.49,3.55,3.65,-0.37999988,-9.8191185,91,3743,0.5075122491455077,False,REGULAR,USD
NVDA250718C00210000,2025-01-14 17:10:14+00:00,210.0,2.78,2.8,2.87,-0.24000001,-7.94702,6,233,0.5096484582519532,False,REGULAR,USD
NVDA250718C00220000,2025-01-14 20:49:14+00:00,220.0,2.18,2.16,2.32,-0.28999996,-11.740889,10,238,0.5118457019042968,False,REGULAR,USD
NVDA250718C00230000,2025-01-14 20:00:30+00:00,230.0,1.75,1.77,1.83,-0.15999997,-8.376962,18,197,0.51562984375,False,REGULAR,USD
NVDA250718C00240000,2025-01-14 19:46:23+00:00,240.0,1.46,1.43,1.55,-0.07999992,-5.1948004,4,192,0.5220995056152342,False,REGULAR,USD
NVDA250718C00250000,2025-01-14 18:06:12+00:00,250.0,1.19,1.17,1.27,-0.099999905,-7.7519307,37,528,0.5266160620117188,False,REGULAR,USD
NVDA250718C00260000,2025-01-14 17:48:12+00:00,260.0,0.97,0.96,1.01,-0.36,-27.067669,3,250,0.5290574438476563,False,REGULAR,USD
NVDA250718C00270000,2025-01-14 14:53:19+00:00,270.0,0.91,0.77,0.88,0.030000031,3.4090943,3,564,0.5344284838867188,False,REGULAR,USD
NVDA250718C00280000,2025-01-14 20:31:38+00:00,280.0,0.69,0.62,0.72,-0.06999999,-9.2105255,13,383,0.5363815893554689,False,REGULAR,USD
NVDA250718C00290000,2025-01-14 20:11:51+00:00,290.0,0.6,0.52,0.62,-0.029999971,-4.7619004,666,382,0.5419967675781252,False,REGULAR,USD
NVDA250718C00300000,2025-01-14 19:19:20+00:00,300.0,0.52,0.44,0.54,-0.050000012,-8.771932,24,198,0.5478560839843751,False,REGULAR,USD
